iter	Passed	Remaining
1549	71004	20614
1550	71036	20564
1551	71064	20513
1552	71094	20463
1553	71163	20424
1554	71195	20374
1555	71251	20331
1556	71280	20280
1557	71310	20230
1558	71339	20179
1559	71373	20131
1560	71406	20081
1561	71420	20027
1562	71446	19975
1563	71481	19926
1564	71511	19876
1565	71536	19825
1566	71556	19772
1567	71581	19721
1568	71606	19670
1569	71634	19619
1570	71690	19576
1571	71719	19526
1572	71745	19475
1573	71773	19425
1574	71800	19374
1575	71830	19324
1576	71860	19275
1577	71890	19225
1578	71919	19175
1579	71950	19126
1580	71984	19077
1581	72012	19027
1582	72040	18977
1583	72067	18926
1584	72095	18876
1585	72149	18833
1586	72186	18785
1587	72213	18735
1588	72242	18685
1589	72272	18636
1590	72286	18582
1591	72313	18532
1592	72341	18482
1593	72366	18432
1594	72393	18381
1595	72421	18332
1596	72446	18281
1597	72479	18233
1598	72508	18183
1599	72539	18134
1600	72565	18084
1601	72591	18034
1602	72618	17984
1603	72646	17935
1604	72692	17889
1605	72723	17841
1606	72754	17792
1607	72778	17742
1608	72803	17691
1609	72833	17642
1610	72853	17591
1611	72880	17541
1612	72909	17492
1613	72935	17443
1614	72962	17393
1615	72978	17341
1616	73005	17291
1617	73034	17242
1618	73062	17193
1619	73094	17145
1620	73122	17096
1621	73161	17050
1622	73218	17007
1623	73247	16958
1624	73272	16909
1625	73300	16860
1626	73330	16811
1627	73360	16762
1628	73387	16713
1629	73416	16665
1630	73444	16616
1631	73469	16566
1632	73499	16518
1633	73531	16470
1634	73559	16421
1635	73591	16373
1636	73620	16325
1637	73647	16276
1638	73692	16231
1639	73722	16183
1640	73749	16134
1641	73777	16085
1642	73803	16036
1643	73833	15988
1644	73859	15939
1645	73890	15891
1646	73913	15841
1647	73941	15793
1648	73970	15745
1649	73999	15696
1650	74028	15648
1651	74057	15600
1652	74087	15552
1653	74119	15504
1654	74146	15456
1655	74188	15411
1656	74244	15368
1657	74270	15320
1658	74297	15271
1659	74325	15223
1660	74351	15174
1661	74375	15125
1662	74404	15077
